Title,Description,Date Added,CVE Link,Exploit Platform,Exploit Type,Product Name
Microsoft Internet Explorer NonQuotedCmdLine Protected Mode Escape Exploit (MS13-055),An error in the way the GetSanitizedParametersFromNonQuotedCmdLine() function in the Internet Explorer broker process handles command-line arguments when trying to launch a program can be exploited to escape from the Internet Explorer Protected Mode sandbox.This module allows an agent running in the context of iexplore.exe with Low Integrity Level to escalate privileges in order to install a new agent that will run with Medium Integrity Level.,"December 4, 2013",CVE-2013-4015,Windows,Exploits / Local,Impact Professional
Mitsubishi Electric Automation MC-WorX Remote File Delete 0-Day Exploit,This module will receive HTTP requests from vulnerable clients and install agents on them.,"December 4, 2013",,,Exploits / Client Side,SCADA
Siemens WinCC TIA Portal miniweb.exe POST HTTP remote dos 0-Day,Remote Denial Of Service in Siemens WinCC TIA Portal,"December 4, 2013",,Windows,Denial of Service / Remote,SCADA
Mitsubishi Electric Automation MC-WorX File Execution Exploit,This module will receive HTTP requests from vulnerable clients and run remote file.,"December 4, 2013",,,Exploits / Client Side,SCADA
Moore Industries NCS Configuration 0-Day DoS,This module causes a Denial of Service in Moore Industries NCS Configuration,"December 4, 2013",,Windows,Denial of Service / Remote,SCADA
Modbus SCADA Directory Traversal Vulnerability 0-day,This module exploits a directory traversal vulnerability in Modbus SCADA,"December 4, 2013",,Windows,Exploits / Remote,SCADA
Microsoft Windows NDProxy DeviceIoControl Vulnerability Exploit,"This module exploits a vulnerability in Windows kernel (""ndproxy.sys"" driver) by calling to the ""DeviceIoControl"" function with crafted parameters.","December 3, 2013",CVE-2013-5065,Windows,Exploits / Local,Impact Professional
Microsoft Windows Active Directory Lightweight Directory Service DoS (MS13-079),"This module exploits a vulnerability in ""Microsoft Windows Active Directory Lightweight Directory"" service by sending UDP requests to the LDAP port (usually 389) and then sending ICMP error messages producing a LDAP Stop Responding behavior.","December 3, 2013",CVE-2013-3868,Windows,Denial of Service / Remote,Impact Professional
Apple Mac OS X Samba NetWkstaTransportEnum Request Remote Buffer Overflow Exploit Update,"This module exploits a vulnerability in Mac OS X Samba server.When a specially crafted call to ""NetWkstaTransportEnum"" RPC function is processed by the Samba server, it produces a heap overflow.This update adds support to Mac OSX 10.6.0 to 10.6.7 ( Server and not server versions ).Besides, this update improves the exploitation by reverting the Samba server impersonation and installing an agent with root privileges in all Mac OSX supported versions.","November 22, 2013",CVE-2012-1182,Mac OS X,Exploits / Remote,Impact Professional
HP System Management iprange Parameter Buffer Overflow Exploit,This module exploits a Buffer Overflow on HP System Management. The vulnerability exists when handling a crafted iprange parameter on a request against /proxy/DataValidation.,"November 21, 2013",CVE-2013-2362,Windows,Exploits / Remote,Impact Professional
Oracle Java ByteComponentRaster Memory Corruption Exploit,"The ByteComponentRaster.verify() method in Oracle Java versions prior to 7u25 holds a memory corruption vulnerability that allows the bypassing of ""dataOffsets[]"" boundary checks. This module exploits such vulnerability allowing for remote code execution.","November 12, 2013",CVE-2013-2473,"Windows, Linux",Exploits / Client Side,Impact Professional
Microsoft Word TIFF Files Handling Memory Corruption Exploit,The vulnerability is a memory corruption caused due to an error when parsing TIFF files within the Microsoft Graphics Component (GDI+).This update adds support for Windows Seven sp1 and 64 bits.,"November 12, 2013",CVE-2013-3906,Windows,Exploits / Client Side,Impact Professional
Ultra Mini HTTPD Stack Buffer Overflow Exploit Update,"The vulnerability is caused due to a boundary error within Mini HTTPD when processing HTTP GET Request. This can be exploited to cause a stack-based buffer overflow via an overly long, specially-crafted argument passed to the affected command. Arbitrary code can be directly executed by overwriting a return address. This update only adds CVE Number.","November 11, 2013",CVE-2013-5019,Windows,Exploits / Remote,Impact Professional
Galil-RIO Rio-47100 Denial of Service,Remote Denial Of Service in Galil-RIO Rio-47100,"November 6, 2013",CVE-2013-0699,Windows,Denial of Service / Remote,SCADA
"National Instruments LabWindows/CVI, LabVIEW ActiveX Remote Code Execution",This module will receive HTTP requests from vulnerable clients and install agents on them.,"November 6, 2013",CVE-2013-5025,,Exploits / Client Side,SCADA
"National Instruments ActiveX LabWindows/CVI, LabVIEW Remote Code Execution",This module will receive HTTP requests from vulnerable clients and install agents on them.,"November 6, 2013",CVE-2013-5022,,Exploits / Client Side,SCADA
Pro-face Pro-Server EX Remote DoS,Remote Denial Of Service in Pro-face Pro-Server EX.,"November 6, 2013",,Windows,Denial of Service / Remote,SCADA
Microsoft Windows Win32k NULL Page Vulnerability Exploit (MS13-081) Update,"This module exploits a vulnerability in ""win32k.sys"" by calling to the ""TrackPopupMenuEx"" function.This update adds support to Windows 7 64 bits and Windows 2008 R2.","November 4, 2013",CVE-2013-3881,Windows,Exploits / Local,Impact Professional
IBM Lotus Quickr For Domino qp2 ActiveX Control Heap Overflow Exploit,A heap overflow in the ActiveX control qp2.cab in IBM Lotus Quickr for Domino allows remote attackers to execute arbitrary code via a crafted argument to the Attachment_Names method.,"November 1, 2013",CVE-2013-3026,Windows,Exploits / Client Side,Impact Professional
Sophos AntiVirus PDF Key Lenght Vulnerability Exploit,A Buffer Overflow exist in Sophos Antivirus when parsing encrypted revision 3 PDF files by reading the encryption key contents onto a fixed length stack buffer.,"October 31, 2013",NOCVE-9999-55894,Mac OS X,Exploits / Client Side,Impact Professional
Aloaha PDF Suite Buffer Overflow Exploit,Aloaha PDF Suite is prone to a security vulnerability when processing PDF files. This vulnerability could be exploited by a remote attacker to execute arbitrary code on the target machine by enticing Aloaha users to open a specially crafted PDF file.,"October 29, 2013",CVE-2013-4978,Windows,Exploits / Client Side,Impact Professional
Oracle Java JMX Remote Code Execution Exploit Update,The default Java security properties configuration does not restrict access to certain objects in the com.sun.jmx.mbeanserver packages. This flaw allows an unprivileged Java applet to escape the sandbox and execute arbitrary code on the target machine with the privileges of the current user.This update adds support for Mac OS X 10.7.4 (i386).,"October 29, 2013",CVE-2013-0422,"Windows, Linux, Mac OS X",Exploits / Client Side,Impact Professional
TinyWebGallery Remote Code Execution Exploit Update,This module exploits a TinyWebGallery local file-include vulnerability because TinyWebGallery fails to properly sanitize user-supplied input. The module takes advantage of the logging capabilities of the attacked software to remotely execute arbitrary code.This update fixes some issues related with an updated library.Support for various platforms was added.,"October 28, 2013",CVE-2009-1911,"Windows, Solaris, Linux",Exploits / Remote,Impact Professional
MS SMB 2.0 Negociate Protocol Request Remote Exploit Update 3,This module exploits a vulnerability in srv2.sys via a SMB 2 malformed packet.This Update adds support for attacking over IPv6 and additional support for Windows Server 2008,"October 28, 2013",CVE-2009-3103,Windows,Exploits / Remote,Impact Professional
Apache Struts 2 DefaultActionMapper redirect Remote Code Execution Exploit Update,"The DefaultActionMapper class in Apache Struts2 supports a method for short-circuit navigation state changes by prefixing parameters with ""action:"" or ""redirect:"". The information contained in these prefixes is not properly sanitized before being evaluated as OGNL expressions on the server side, which allows remote attackers to execute arbitrary Java code on the server.This module exploits the vulnerability in any web application built on top of vulnerable versions of the Apache Struts 2 framework.","October 28, 2013",CVE-2013-2251,"Windows, Linux, Mac OS X",Exploits / Remote,Impact Professional
PineApp Mail-SeCure ldapsynchnow.php Remote Code Execution Exploit,"This module exploits a vulnerability present in PineApp Mail-SeCure. The specific flaw exists within the component ldapsynchnow.php, which lacks proper sanitization, thus allowing command injection.","October 25, 2013",NOCVE-9999-59234,Linux,Exploits / Remote,Impact Professional
Microsoft Windows Win32k NULL Page Vulnerability Exploit (MS13-081),"This module exploits a vulnerability in ""win32k.sys"" by calling to the ""TrackPopupMenuEx"" function.","October 17, 2013",CVE-2013-3881,Windows,Exploits / Local,Impact Professional
Nginx HTTP Server Chuncked Encoding Buffer Overflow Exploit,This module exploits a buffer overflow vulnerability present in Nginx by bypassing the stack cookie protection and by reordering the TCP packets to make it reliable.,"October 15, 2013",CVE-2013-2028,Linux,Exploits / Remote,Impact Professional
Oracle WebLogic Server Apache Connector Exploit Update,Exploits a buffer overflow in the Apache Connector of Oracle WebLogic Server (formerly known as BEA WebLogic Server). The target path used when launching this module against an Apache Server must be handled by the Apache Connector or the exploit will not succeed.This update changes the default connection method for the module.,"October 15, 2013",CVE-2008-3257,"Windows, AIX, Linux",Exploits / Remote,Impact Professional
Foscam Camera tmpfs File Disclosure Exploit,"This module exploits a file disclosure vulnerability on Foscam IP cameras. Due to improper access restrictions, it is possible for a remote unauthenticated attacker to read arbitrary files from the /tmpfs/ and /log/ directories. This can be exploited to obtain valuable information such as access credentials, Wi-Fi configuration and other sensitive information in plain text.","October 10, 2013",CVE-2013-2574,,Exploits / Remote,Impact Professional
Oracle Java BytePackedRaster Exploit,"This module exploits a vulnerability in Oracle Java. The BytePackedRaster.verify() method in Oracle Java versions prior to 7u25 is vulnerable to a signed integer overflow that allows bypassing of ""dataBitOffset"" boundary checks. This vulnerability allows for remote code execution.","October 9, 2013",CVE-2013-2463,"Windows, Linux",Exploits / Client Side,Impact Professional
Microsoft Windows Telephony Service exploit Update,"This module connects to Telephony Service and sends a message via lineSetAppPriorityW winapi32 producing a buffer overflow and installs an agent.This update fixes a bug that occurs when this module is launched by RPT, with a newer Windows platform such as Windows Seven as target.","October 7, 2013",CVE-2005-0058,Windows,Exploits / Local,Impact Professional
Oracle Java storeImageArray Invalid Array Indexing Exploit,This module exploits a vulnerability in Oracle Java. The vulnerability is an invalid array indexing that exists within the native storeImageArray() function inside jre/bin/awt.dll.,"October 7, 2013",CVE-2013-2465,"Windows, Linux",Exploits / Client Side,Impact Professional
Oracle Java IntegerInterleavedRaster Signed Integer Overflow Exploit,This module exploits a vulnerability in Oracle Java. The vulnerability is an invalid array indexing that exists within the native IntegerInterleavedRaster.verify() function inside jre/bin/awt.dll,"October 7, 2013",CVE-2013-2471,"Windows, Linux",Exploits / Client Side,Impact Professional
Microsoft Internet Explorer SetMouseCapture Use-After-Free Exploit Update,This module exploits a use after free in Internet Explorer by using a SetMouseCapture vulnerability in MSHTML.This update fixes a typo in the name of the module.This is an early release module. This is not the final version of this module. It is a pre-released version in order to deliver a module as quickly as possible to our customers that may be useful in some situations. Since this module is not the final version it may contain bugs or have limited functionality and may not have complete or accurate documentation.,"October 3, 2013",CVE-2013-3893,Windows,Exploits / Client Side,Impact Professional
Micorosft Internet Explorer SetMouseCapture Use-After-Free Exploit,This module exploits a use after free in Internet Explorer by using a SetMouseCapture vulnerability in MSHTML.This is an early release module. This is not the final version of this module. It is a pre-released version in order to deliver a module as quickly as possible to our customers that may be useful in some situations. Since this module is not the final version it may contain bugs or have limited functionality and may not have complete or accurate documentation.,"October 3, 2013",CVE-2013-3893,Windows,Exploits / Client Side,Impact Professional
QNX FTPD Remote DoS,Remote QNX FTPD DoS,"October 3, 2013",,Windows,Denial of Service / Remote,SCADA
UCanCode HMI Control ActiveX Remote File Replace Exploit 0-Day,This module will receive HTTP requests from vulnerable clients and install agents on them.,"October 3, 2013",,,Exploits / Client Side,SCADA
MetaDraw ActiveX Remote File Replace Exploit 0-Day,This module will receive HTTP requests from vulnerable clients and install agents on them.,"October 3, 2013",,,Exploits / Client Side,SCADA
Mitsubishi MX ActiveX Component Exploit,This module will listen HTTP requests from vulnerable clients and install an agent on them.,"October 3, 2013",NOCVE-9999-99999,,Exploits / Client Side,SCADA
Siemens WinCC TIA Portal Miniweb.exe DoS 0-Day,Remote Denial Of Service in Siemens WinCC TIA Portal miniweb.exe server.,"October 3, 2013",,Windows,Denial of Service / Remote,SCADA
CSRSS facename exploit Update 2,"This module exploits a stack-based buffer overflow in WINSRV.DLL in the Client Server Runtime System (CSRSS) process.Allows local users to gain privileges via a specially-designed application that provides console window information with a long FaceName value.This update fixes a bug that occurs when this module is launched by RPT, with a newer Windows platform such as Windows Seven as target.","October 2, 2013",CVE-2005-0551,Windows,Exploits / Local,Impact Professional
Openftpd Server Buffer Overflow Exploit Update,"The vulnerability is caused due to a boundary error within the authentication process. This can be exploited to cause a stack-based buffer overflow by sending an overly long, specially-crafted password to the affected server. This update adds CVE Number.","October 2, 2013",CVE-2010-2620,Windows,Exploits / Remote,Impact Professional
Exim With Dovecot LDA Remote Code Execution Exploit,"The Dovecot documentation contains an example using a dangerous configuration option for Exim, which leads to a remote command execution vulnerability.","October 1, 2013",NOCVE-9999-59209,Linux,Exploits / Remote,Impact Professional
Microsoft Windows Class Name String Atom Privilege Escalation Exploit (MS12-041),An error in the way that the Windows kernel handles string atoms when registering a new window class allows unprivileged users to re-register atoms of privileged applications.This vulnerability can be exploited by local unprivileged users to execute arbitrary code with SYSTEM privileges.,"October 1, 2013",CVE-2012-1864,Windows,Exploits / Local,Impact Professional
Adobe ColdFusion APSB13-03 Remote Code Execution Exploit,"Adobe ColdFusion is vulnerable to a remote authentication-bypass, allowing the attacker to upload an agent and execute it. The agent may have SYSTEM privileges if ColdFusion is installed as a service in Windows.","September 30, 2013",CVE-2013-0625,Windows,Exploits / Remote,Impact Professional
Bifrost Server Buffer Overflow Exploit,Bifrost Server is prone to a buffer overflow vulnerability which can be exploited remotely by sending a specially crafted packet to port TCP/81.,"September 30, 2013",NOCVE-9999-58713,Windows,Exploits / Remote,Impact Professional
Microsoft Office Access Database Processing Pointers Exploit (MS13-074),Microsoft Access contains a vulnerability in the way it handles compiled queries that are stored in .aacdb files. It mistakenly interprets certain fields in the file as pointers and produce memory corruption.,"September 19, 2013",CVE-2013-3155,Windows,Exploits / Client Side,Impact Professional
Microsoft Windows Win32k Divided Error Exception DoS (MS13-046) Update,"This module exploits a Windows kernel vulnerability calling to ""NtGdiScaleViewportExtEx"" function by using crafted parameters.This update adds support for all 32 bit Windows versions.","September 19, 2013",CVE-2013-1334,Windows,Denial of Service / Local,Impact Professional
SNMP OS Detect and Identity Verifier Update V2,This update extends the information gathered to include CVE-1999-0516 and CVE-1999-0517 when present in the target.,"September 16, 2013",,,Exploits / Remote,Impact Professional
FreeFTPd PASS Command Buffer Overflow Exploit,FreeFTPd is prone to a buffer overflow when handling an overly long PASS command.,"September 16, 2013",NOCVE-9999-59669,Windows,Exploits / Remote,Impact Professional
Music Animation Machine MIDI SEH Buffer Overflow Exploit,Music Animation Machine MIDI Player contains a buffer prone to exploitation via an overly long string. The vulnerability is caused due to a boundary error in MAM Player when handling misleading MIDI files. This situation leads to a buffer overflow and allows an attacker to overwrite an SEH Pointer and get control of execution. This vulnerability can be exploited via a specially crafted .mamx file.,"September 16, 2013",CVE-2011-0502,Windows,Exploits / Client Side,Impact Professional
Microsoft Windows Print Spooler Service Format String Vulnerability DoS (MS12-054) Update V3,This update provides a better documentation for this module.,"September 16, 2013",CVE-2012-1851,Windows,Denial of Service / Remote,Impact Professional
freeSSHd SSH Server Authentication Bypass Remote Code Execution Exploit Update V2,This update modifies the application version displayed in Quick Information.,"September 16, 2013",CVE-2012-6066,Windows,Exploits / Remote,Impact Professional
SNMP OS Detect and Identity Verifier Update V2,This update extends the information gathered to include CVE-1999-0516 and CVE-1999-0517 when present in the target.,"September 16, 2013",,,Exploits / Remote,Impact Professional
Microsoft Windows Theme File Handling Exploit (MS13-071),The vulnerability is caused due to an error when handling theme and screensaver files.,"September 12, 2013",CVE-2013-0810,Windows,Exploits / Client Side,Impact Professional
Sophos Web Protection Appliance sblistpack Command Injection Exploit,"The /opt/ws/bin/sblistpack Perl script in Sophos Web Protection Appliance, which can be reached from the web interface, is vulnerable to OS command injection because its get_referers() function does not escape the first argument of the script before using it within a string that will be executed as a command by using backticks.A remote unauthenticated attacker can exploit this vulnerability to execute arbitrary code in the affected appliance with the privileges of the ""spiderman"" operating system user.","September 7, 2013",CVE-2013-4983,Linux,Exploits / Remote,Impact Professional
SIEMENS Solid Edge SEListCtrlX ActiveX Memory Write Exploit,Siemens Solid Edge SEListCtrlX ActiveX control is prone to an arbitrary memory write vulnerability because the application fails to perform adequate boundary checks on user-supplied data.,"September 6, 2013",NOCVE-9999-58736,Windows,Exploits / Client Side,Impact Professional
Microsoft Internet Explorer CFlatMarkupPointer Use-After-Free (MS13-059),Use after free in Internet Explorer when an invalid reference to CFlatMarkupPointer is used. Successful control of the freed memory may leverage arbitrary code execution under the context of the user.,"September 5, 2013",CVE-2013-3184,Windows,Exploits / Client Side,Impact Professional
Graphite Pickle Remote Code Execution Exploit,This module exploits an unsafe pickle operation of Graphite in order to install an agent.,"September 5, 2013",CVE-2013-5093,Linux,Exploits / Remote,Impact Professional
Intellicom Netbiter WebSCADA Directory Traversal,"This module exploits a directory traversal vulnerability in the Intellicom Netbiter WebSCADA (WS100, WS200).","September 4, 2013",,,Exploits / Unrestricted URL Access,SCADA
Clorius Controls ICS SCADA Information Disclosure,This module exploits a sensitive information disclosure vulnerability in the Clorius Controls ICS SCADA.,"September 4, 2013",,,Exploits / Unrestricted URL Access,SCADA
Siemens SIMATIC ProTool/Pro Configuration (CS) 0-Day DoS,This module causes a Denial of Service in SIMATIC ProTool/Pro.,"September 4, 2013",,Windows,Denial of Service / Remote,SCADA
Honeywell UniSim ShadowPlant Bridge Remote DoS 0-Day,Honeywell UniSim ShadowPlant Bridge DoS,"September 4, 2013",,Windows,Denial of Service / Remote,SCADA
Kingsoft Writer WPS Font Names Buffer Overflow Exploit,Kingsoft Writer is prone to a Buffer Overflow when handling font names via a specially crafted WPS file with an overly long font name.,"September 2, 2013",CVE-2013-3934,Windows,Exploits / Client Side,Impact Professional
HP LoadRunner micWebAjax ActiveX Control NotifyEvent Exploit,The specific flaw exists within the micWebAjax.dll ActiveX control. The control exposes the NotifyEvent method. The method performs insufficient bounds checking on user-supplied data which results in stack corruption.,"August 30, 2013",CVE-2013-2368,Windows,Exploits / Client Side,Impact Professional
Agnitum Outpost Security Suite Privilege Escalation Exploit,"This module exploits a vulnerability in Agnitum Outpost Security Suite acs.exe service server when handling a specially crafted request, sent to the acsipc_server named pipe. Attackers can leverage this issue to execute arbitrary code with elevated privileges in the context of the acs.exe server process.","August 29, 2013",NOCVE-9999-59314,Windows,Exploits / Local,Impact Professional
Triologic Player M3U Unicode SEH Buffer Overflow Exploit,Triologic Media Player contains a buffer prone to exploitation via an overly long string. The vulnerability is caused due to a boundary error in Triologic Player when handling misleading m3u files. This situation leads to a buffer overflow and allows an attacker to overwrite an SEH Pointer and get control of execution. This is an UNICODE overflow so special shellcode must be considered. This vulnerability can be exploited via a specially crafted .m3u file.,"August 29, 2013",CVE-2009-0266,Windows,Exploits / Client Side,Impact Professional
GSM SIM Utility SEH Buffer Overflow Exploit,GSM SIM Utility contains a buffer prone to exploitation via an overly long string. The vulnerability is caused due to a boundary error in GSM SIM Editor when handling misleading .sms files. When opening such files an error message is shown and then a buffer overflow occurs. This situation allows an attacker to overwrite an SEH Pointer and control the execution flow.,"August 26, 2013",NOCVE-9999-59322,Windows,Exploits / Client Side,Impact Professional
Schneider Electric Web Designer Server Simulator Remote denial-of-service 0-Day,Remote Denial Of Service in Schneider Electric Web Designer ServerSimulator.exe.,"August 19, 2013",,Windows,Denial of Service / Remote,SCADA
Sunway Webserver Remote Command Execution,This module exploits a directory traversal vulnerability in the Sunway WebServer that may leads to the command execution. Successfull exploitation allowing the creation of the user 'hacker' with password '12345'.,"August 19, 2013",CVE-9999-9999,Windows,Exploits / Remote,SCADA
Schneider Electric PLC Simulator 'sim.exe' Remote denial-of-service 0-Day,Remote Denial Of Service in Schneider Electric PLC Simulator.,"August 19, 2013",,Windows,Denial of Service / Remote,SCADA
Honeywell UniSim SimStation Remote DoS 0-Day,Honeywell UniSim SimStation DoS,"August 19, 2013",,Windows,Denial of Service / Remote,SCADA
Schneider Electric Accutech Manager Server Denial Of Service,Remote Denial Of Service in RFManagerService.exe,"August 19, 2013",CVE-2013-0658,Windows,Denial of Service / Remote,SCADA
Cogent Datahub Buffer Overflow Remote Exploit,This module exploits a buffer overflow and installs an agent into the target host.,"August 19, 2013",CVE-2011-3493,Windows,Exploits / Remote,SCADA
UPnP Vulnerability Checker,"This module checks for vulnerabilities in UPnP-enabled systems. It sends a SSDP ""M-SEARCH"" packet to the multicast group (239.255.255.250) and checks for known banners corresponding to vulnerable UPnP SDK versions.","August 16, 2013",CVE-2012-5958,,Exploits / Tools,Impact Professional
Microsoft Windows Win32k Read AV Vulnerability (MS13-053) Update,"This module exploits a vulnerability in win32k.sys when the EPATHOBJ::pprFlattenRec() doesn't initialize the pointer to the next memory chunk.This update adds support to Windows 2003 64 bits, Windows Vista 64 bits, Windows 2008 64 bits, Windows 2008 R2, Windows 7 64 bits, Windows 8 64 bits and Windows 2012 64 bits.","August 14, 2013",CVE-2013-3660,Windows,Exploits / Local,Impact Professional
Upgrade to Impact 2013 R1.4,Upgrades Impact to v2013 Release 1.4; more information can be found at http://blog.coresecurity.com/2013/08/14/announcing-core-impact-v2013-r1-4/,"August 14, 2013",,,Exploits / Remote,Impact Professional
VLC Media Player ABC File Parsing Exploit,The vulnerability is due to an error while parsing Parts field in ABC files which can result in an integer overflow in the libmodplug library used by VLC Media Player.,"August 13, 2013",NOCVE-9999-59318,Windows,Exploits / Client Side,Impact Professional
Elecard MPEG Player SEH Buffer Overflow Exploit,"Elecard MPEG Player contains a buffer prone to exploitation via an overly long string. The vulnerability is caused due to a boundary error in Elecard MPEG Player when handling .m3u files, situation that leads to a buffer overflow and the possibility to overwrite an SEH Pointer. This can be exploited via a specially crafted .m3u file.","August 13, 2013",NOCVE-9999-59136,Windows,Exploits / Client Side,Impact Professional
Apache Struts 2 DefaultActionMapper redirect Remote Code Execution Exploit,"The DefaultActionMapper class in Apache Struts2 supports a method for short-circuit navigation state changes by prefixing parameters with ""action:"" or ""redirect:"". The information contained in these prefixes is not properly sanitized before being evaluated as OGNL expressions on the server side, which allows remote attackers to execute arbitrary Java code on the server.This module exploits the vulnerability in any web application built on top of vulnerable versions of the Apache Struts 2 framework.","August 13, 2013",CVE-2013-2251,"Windows, Linux, Mac OS X",Exploits / Remote,Impact Professional
Oracle Document Capture BlackIceDevMode ActiveX Buffer Overflow Exploit,The Import Server component of Oracle WebCenter Capture is affected by a buffer overflow vulnerability. This could allow command execution when a user loads a web page which calls the SetAnnotationFont method of the BlackIceDevMode.ocx ActiveX control with a overly long string argument.,"August 13, 2013",CVE-2013-1516,Windows,Exploits / Client Side,Impact Professional
HP LoadRunner lrFileIOService ActiveX Control WriteFileBinary Exploit,The specific flaw exists within the lrFileIOService ActiveX control. The control exposes the WriteFileBinary method which accepts a parameter named data that it uses as a valid pointer. By specifying invalid values an attacker can force the application to jump to a controlled location in memory. This can be exploited to execute remote code under the context of the user running the web browser.,"August 12, 2013",CVE-2013-2370,Windows,Exploits / Client Side,Impact Professional
Microsoft Windows Print Spooler Service Format String Vulnerability DoS (MS12-054) Update,This update provides a better documentation for this module,"August 9, 2013",CVE-2012-1851,Windows,Denial of Service / Remote,Impact Professional
Oracle Java ProviderSkeleton Remote Code Execution Exploit,This module exploits a vulnerability in Oracle Java. Abusing the insecure invoke() method of the ProviderSkeleton class that allows to call arbitrary static methods with user supplied arguments it is possible to execute arbitrary code.,"August 9, 2013",CVE-2013-2460,"Windows, Linux",Exploits / Client Side,Impact Professional
Core Player M3U Playlist Buffer Overflow Exploit,A Buffer Overflow exist in Core Player when parsing .M3U files. This can be exploited to cause a stack-based buffer overflow via a specially crafted .M3U file.,"August 9, 2013",NOCVE-9999-58790,Windows,Exploits / Client Side,Impact Professional
Oracle WebCenter Content CheckOutAndOpen ActiveX openWebdav Arbitrary File Code Execution Exploit,"Oracle WebCenter Content is prone to a Remote File Execution vulnerability within the CheckOutAndOpen.dll ActiveX when using openWebdav method. By specifying a constructed path an attacker can force the contents of the file to be passed to ShellExecuteExW, thus being able to execute arbitrary files. The payload is embedded on a VBS file which is automatically executed when a HTA file is requested through Webdav.","August 8, 2013",CVE-2013-1559,Windows,Exploits / Client Side,Impact Professional
freeSSHd SSH Server Authentication Bypass Remote Code Execution Exploit Update,This update modifies the application version displayed in Quick Information,"August 5, 2013",CVE-2012-6066,Windows,Exploits / Remote,Impact Professional
Chasys Draw IES BMP Image Processing Buffer Overflow Exploit,"The vulnerability is caused due to a boundary error within flt_BMP.dll when processing BMP images and can be exploited to cause a stack-based buffer overflow via specially crafted ""biPlanes"" and ""biBitCount"" fields.","August 5, 2013",CVE-2013-3928,Windows,Exploits / Client Side,Impact Professional
ABBS Audio Media Player Buffer Overflow Exploit,ABBS Audio Media Player contains a buffer prone to exploitation via an overly long string. The vulnerability is caused due to a boundary error in ABBS when handling .lst files. This can be exploited to cause a stack-based buffer overflow via a specially crafted .lst file.,"August 3, 2013",NOCVE-9999-58468,Windows,Exploits / Client Side,Impact Professional
GroundWork monarch_scan.cgi Remote Code Execution Exploit,"This module exploits a vulnerability found in GroundWork 6.7.0. This software is used for network, application and cloud monitoring. The vulnerability exists in the monarch_scan.cgi, where user controlled input is used in the perl qx function, which allows any remote authenticated attacker, whatever his privileges are, to inject system commands and gain arbitrary code execution.","August 1, 2013",CVE-2013-3502,Linux,Exploits / Remote,Impact Professional
OpenSSL DTLS ChangeCipherSpec DoS,ssl/s3_pkt.c in OpenSSL before 0.9.8i allows remote attackers to cause a denial of service (NULL pointer dereference and daemon crash) via a DTLS ChangeCipherSpec packet that occurs before ClientHello.,"July 30, 2013",CVE-2009-1386,"Linux, FreeBSD",Denial of Service / Remote,Impact Professional
XnView PSP Image Processing Buffer Overflow Exploit,A vulnerability when processing PSP files can be exploited to cause a stack based buffer overflow via a specially crafted file.,"July 29, 2013",CVE-2013-3492,Windows,Exploits / Client Side,Impact Professional
DJ Studio Pro SEH Overflow Exploit,"DJ Studio Pro contains a buffer prone to exploitation via an overly long string. The vulnerability is caused due to a boundary error in the application when handling .pls files. This can be exploited to cause a stack-based buffer overflow via a specially crafted .pls file. This overflow allows to overwrite an SEH pointer, generate and exception and execute arbitrary code.","July 27, 2013",NOCVE-9999-58778,Windows,Exploits / Client Side,Impact Professional
PHP Charts Remote Code Execution Exploit,This module exploits a vulnerability in PHP Charts 1.0. The url.php script eval()s every single GET key/value pair. Leading to code execution.,"July 25, 2013",NOCVE-9999-57634,,Exploits / Remote,Impact Professional
Apple Quicktime Invalid Atom Length Buffer Overflow Exploit,Buffer Overflow when Quicktime fails to properly handle the data length for certain atoms such as 'rdrf' or 'dref' in the Alis record by loading a specially crafted .MOV file.,"July 25, 2013",CVE-2013-1017,Windows,Exploits / Client Side,Impact Professional
Artweaver AWD File Processing Memory Corruption Exploit,Artweaver is prone to a Memory Corruption when handling a specially crafted AWD files.,"July 24, 2013",CVE-2013-2576,Windows,Exploits / Client Side,Impact Professional
WM Downloader M3U Buffer OverFlow Exploit,WM Downloader contains a buffer prone to exploitation via an overly long string. The vulnerability is caused due to a boundary error in WM Downloader when handling .M3U files. This can be exploited to cause a stack-based buffer overflow via a specially crafted .M3U file.,"July 24, 2013",NOCVE-9999-51869,Windows,Exploits / Client Side,Impact Professional
MinaliC Webserver GET Buffer Overflow Exploit,"The vulnerability is caused due to a boundary error in the handling of HTTP ""GET"" requests. This can be exploited to cause a buffer overflow by sending a specially crafted overly long request. This request must avoid some special characters in order to cause the overflow.","July 22, 2013",NOCVE-9999-58667,Windows,Exploits / Remote,Impact Professional
ERDAS ER Viewer rf_report_error Buffer Overflow Exploit,"A buffer overflow within the ""rf_report_error()"" function (ermapper_u.dll) when parsing ERS files exist in ERDAS ER VIEWER.","July 19, 2013",CVE-2013-3482,Windows,Exploits / Client Side,Impact Professional
ERDAS ER Viewer rf_report_error Buffer Overflow Exploit,"A buffer overflow within the ""rf_report_error()"" function (ermapper_u.dll) when parsing ERS files exist in ERDAS ER VIEWER.","July 19, 2013",CVE-2013-3482,Windows,Exploits / Client Side,Impact Professional
